Periode;org_1;org_2;org_3;sto;order_id;trouble_no;flag_exclude_all;is_duplicate_order;Wilsus
202606;AREA 4;KALIMANTAN;PONTIANAK;SAO;AOi4260419045245179eb0210;INC50312151;0;0;0
202606;AREA 4;KALIMANTAN;PONTIANAK;STA;AOk426042104050528571cb20;INC50310984;0;0;0
202606;AREA 4;KALIMANTAN;BALIKPAPAN;SKU;AOi4260419055932346670e90;INC50310655;0;0;0
202606;AREA 4;KALIMANTAN;PANGKALAN BUN;PEA;AOi4260418094534889b0c820;INC50310416;0;0;0
202606;AREA 4;SULAWESI;MANADO;BAH;AOk42604290207206353af320;INC50309936;0;0;0
202606;AREA 4;KALIMANTAN;PALANGKARAYA;PYM;AOi4260428114647339198ac0;INC50309330;0;0;0
202606;AREA 4;KALIMANTAN;BALIKPAPAN;SKU;AOi426042003223021114c8e0;INC50309105;0;0;0
202606;AREA 3;JATIM;SIDOARJO;SPJ;AOi4260429105423167665b40;INC50308299;0;0;0
202606;AREA 1;SUMBAGUT;CENTRAL MEDAN;PUB;AOk426043009334178477e2b0;INC50308106;0;0;0
202606;AREA 4;KALIMANTAN;BANJARMASIN;PGN;AOi42604291159185213ef330;INC50306740;0;0;0
202606;AREA 3;BALI NUSRA;FLORES;LBO;AOi4260420103639664396e40;INC50306632;0;0;0
202606;AREA 1;SUMBAGTENG;PEKANBARU;RBI;AOi4260421110903424448ac0;INC50306332;0;0;0
202606;AREA 3;BALI NUSRA;MATARAM;SGG;AOi4260419033239724ccdde0;INC50305592;0;0;0
